提問ID,類別ID,提問文字,提問照片
1,1,我找不到你們網站上的聯繫方式，可以告訴我怎樣聯繫你們的客服嗎？,
2,1,我在網站上註冊了會員，但無法登錄，可能是什麼問題？,sr-0-1-2.jpeg
3,1,我在網站上訂購的商品一直沒有收到，可以幫我查一下物流信息嗎？,
4,1,我想在你們的網站上進行退換貨，可以告訴我退換貨流程嗎？,
5,1,我在你們的網站上發現了一個bug，應該如何報告？,sr-0-1-5.jpeg
6,2,我希望預訂你們的服務，可以告訴我預訂流程嗎？,
7,2,我對你們的服務價格有些疑問，可以告訴我詳細的價格政策嗎？,
8,2,我想知道你們的服務是否提供退款政策？,
9,3,這款背包的容量能夠容納多少物品？,
10,3,這款背包是否有防水功能？,
11,3,我需要一個能夠放置筆記本電腦的背包，這款背包是否適合？,
12,3,我對這款背包的外觀設計很滿意，但我擔心它的舒適度。,
13,3,我對這款背包的顏色很滿意，但我想知道它的重量。,
14,3,我有一個背囊需要更換，但我對於選擇的尺寸不確定。,
15,3,我喜歡這款背包的設計，但我想知道它的材質。,
16,3,我對這款背包的價格有些疑問，這個價格是否包含所有附件？,